3,535,2,nan
14,98,18,8
769,818,468,342
1888,1830,1246,693
1716,1932,756,619
571,12,203,224
3630,1731,1715,1251
6280,3647,1866,2122
3688,3593,1609,1348
2933,5336,649,731
126,59,44,27
24,14,18,11
34,29,8,15
594,901,100,131
4404,4173,1585,1522
249,666,267,113
110,206,112,50
517,662,335,271
19,43,9,6
45,55,12,5
3344,3020,1731,1264
2137,1695,759,624
15128,11439,4956,4260
3,616,0,1
292,695,106,68
0,40,0,1
232,2997,48,52
21,47,6,4
13,14,1,2
7967,7380,3986,2972
13690,6145,2981,3710
848,277,719,318
24,948,9,10
40,8,112,31
445,540,364,217
53,3958,15,10
24258,25488,7619,8469
2818,2650,718,646
1275,1343,422,478
1184,1771,449,375
2454,4085,1289,847
606,1097,416,296
311,85,74,89
293,334,23,62
193,2014,79,49
195,3463,17,43
2853,3424,2921,1635
8,1,8,6
954,2878,350,244
62,412,93,33
97,236,53,41
304,332,70,146
70,151,47,25
11,8,8,6
32,2680,7,5
1,17,0,2
9303,770,610,3743
224,276,103,99
1500,2226,641,496
144,186,177,77
1974,3089,891,686
8704,3449,405,2175
19,8,2,6
6069,3013,1762,1705
144,299,67,51
9954,7246,4079,3568
6257,4491,1375,1384
15,14,3,6
0,30,0,0
632,1158,275,248
10,13,4,2
512,744,215,149
1310,2439,421,418
2268,2052,487,628
430,579,203,134
21,15,4,6
40515,127384,23313,10089
700,469,184,189
2214,2052,738,701
1160,932,373,332
4426,96,794,1488
52,0,0,4
247,1075,71,87
13286,14957,4825,3979
3077,2228,2852,1156
13225,11066,1542,2834
7708,8959,4094,2631
50,163,35,21
10102,20614,5588,2487
7618,6168,2257,2123
1518,916,1101,548
2881,2684,561,688
864,487,538,419
300,319,251,141
243,261,273,134
11839,10124,9508,2987
58,69,78,25
607,573,326,204
4973,6961,2203,1553
6,25,3,1
7,47,0,2
5988,8408,2648,2181
5,12,7,0
3,66,1,0
1615,2777,407,443
4584,2252,2346,1618
1469,1063,649,414
14105,2530,581,2331
439,423,89,109
2492,52,693,1015
155,79,75,59
91,90,58,59
239,491,252,144
827,1217,573,358
4132,2473,1189,1311
14506,12183,3564,4416
1628,1689,502,410
101,718,15,26
37,39,10,16
2605,3789,1539,1267
1288,41,184,436
601,533,168,157
5047,981,1460,1322
1295,2421,400,311
57,95,8,6
