1,2,342,526,3
1,1,76,40,33
431,771,1368,1268,1564
768,1722,2517,1923,3865
810,977,2472,1870,2251
452,358,17,14,622
1716,2678,2097,2071,5499
3451,2699,3399,2716,5233
2026,2033,3920,2715,3873
956,985,5497,4214,3462
nan,76,46,32,148
16,28,12,12,67
21,9,21,44,35
194,166,1007,862,632
2390,2012,3500,3020,5412
87,323,734,565,721
71,194,383,206,307
289,487,824,565,709
4,6,54,10,18
16,25,67,92,51
1804,2499,4073,3409,5545
745,826,1373,1008,1740
6696,7131,11369,7972,17002
2,0,802,553,0
41,94,333,240,368
0,2,45,40,5
106,103,2214,2008,152
12,6,22,34,22
12,6,13,30,15
4445,5657,6923,6358,12641
5442,5371,6222,5709,13524
334,890,379,354,1607
1,1,1139,1001,8
26,223,7,2,210
266,375,822,520,633
8,19,4535,3779,35
17590,16480,35401,24296,30991
1514,1605,3883,4272,2751
770,751,1586,1236,1665
525,637,1749,1452,1584
876,1449,4133,3742,3515
376,680,1334,1199,1295
121,107,67,57,246
201,70,407,339,159
34,36,2260,746,32
51,51,3951,2882,38
2049,3096,4580,4724,6743
2,5,1,0,49
543,993,5818,5171,2282
42,109,337,305,205
41,74,206,241,166
228,141,343,382,326
40,91,168,191,194
11,8,9,7,14
3,3,2434,2530,14
1,0,28,17,0
5413,1212,1081,907,4696
131,110,181,82,162
604,839,2184,2182,2202
64,275,322,303,516
898,1106,2803,1809,2213
4396,1043,4140,2407,4711
11,3,5,6,4
2921,2754,2736,3238,6770
85,133,580,364,234
5244,5390,7186,5872,12670
2634,1875,4415,3846,4832
7,6,20,26,21
0,1,63,20,0
425,527,1871,1608,1103
11,12,27,8,11
195,396,873,884,959
452,727,2229,2342,1899
965,733,1479,1102,1914
210,343,658,528,673
5,6,7,11,21
12154,36805,75673,98971,74010
269,267,486,467,787
1205,1389,2630,2019,3183
536,569,855,731,1560
2609,1436,100,88,3325
19,3,0,0,11
143,99,1050,827,260
7146,7138,17154,16917,18231
1401,5449,1849,1723,9536
6546,3199,11884,10735,12760
3904,7683,10767,10098,15468
18,24,96,76,80
4169,7822,22584,27869,16088
3566,3687,5341,4537,8724
940,1836,1088,994,3411
1503,1364,3871,3959,2932
720,869,691,722,1697
153,380,266,219,575
162,356,322,253,559
5911,15144,11940,6902,30968
51,87,115,57,191
248,554,763,701,1067
2775,3663,7464,6123,7633
4,2,17,10,8
2,2,23,15,7
3505,4067,9045,8572,9826
2,8,12,11,8
1,3,38,34,4
845,716,2493,1924,1527
2761,3893,2935,3096,8012
602,1113,1165,978,2279
5350,1521,2438,2554,6227
177,194,509,359,506
2008,1150,66,60,2862
91,100,80,51,195
69,86,91,56,141
135,243,522,410,402
520,834,1573,1394,1797
1803,1727,2395,2068,4950
6527,4386,10599,7137,14734
688,574,1426,975,1519
18,31,669,773,22
44,23,79,81,44
1416,2417,4162,3373,4454
658,333,35,42,934
351,472,810,498,835
2158,2471,1056,1023,5445
483,634,2420,2221,1755
36,15,91,52,19
3246,2234,11473,7530,6493
2,0,113,91,1
8639,5904,20216,14858,16180
14,37,21,37,26
1180,1922,538,580,3381
214,251,853,689,531
19,18,99,100,31
575,1439,107,115,2893
97,123,12,11,79
74,17,7,8,52
183,54,51,53,175
113,118,110,116,247
1,1,39,10,4
856,1138,1695,1340,2141
1029,1201,1480,1850,3097
315,645,914,1137,1325
1016,1519,5131,3973,1630
411,623,1238,883,1445
3434,15170,4989,4541,22253
12,15,6,6,30
89,60,8603,8794,140
285,758,658,413,1396
1345,1661,2018,1507,2832
3367,3219,7981,5349,8862
476,443,1168,1003,1170
268,433,3440,3102,1179
218,393,489,535,752
674,666,1912,1887,1500
327,126,2283,1652,548
2776,10200,10360,14370,4288
293,822,15313,15611,412
960,1216,3325,2593,3065
977,1197,4455,5118,2953
146,316,118,186,673
